date,open,high,low,close,volume,label
2012.06.27,79.451,79.853,79.342,79.661,23246,79.677
2012.06.28,79.662,79.677,79.209,79.29,24823,79.962
2012.06.29,79.291,79.962,79.123,79.92,30275,79.964
2012.07.01,79.845,79.964,79.801,79.827,2690,79.847
2012.07.02,79.828,79.847,79.299,79.441,25334,79.915
2012.07.03,79.442,79.915,79.427,79.841,22656,79.953
2012.07.04,79.84,79.953,79.579,79.936,19264,80.081
2012.07.05,79.935,80.081,79.548,79.853,25650,80.008
2012.07.06,79.852,80.008,79.484,79.606,22065,79.712
2012.07.08,79.61,79.712,79.412,79.485,2619,79.758
2012.07.09,79.486,79.758,79.463,79.552,18114,79.561
2012.07.10,79.55,79.561,79.198,79.343,20851,79.776
2012.07.11,79.341,79.776,79.121,79.593,22298,79.93
2012.07.12,79.594,79.93,79.164,79.311,24333,79.379
2012.07.13,79.308,79.379,79.06,79.241,16127,79.277
2012.07.15,79.258,79.277,79.106,79.169,1917,79.189
2012.07.16,79.168,79.189,78.675,78.825,16600,79.158
2012.07.17,78.826,79.158,78.803,79.07,20274,79.111
2012.07.18,79.069,79.111,78.744,78.784,18580,78.786
2012.07.19,78.783,78.786,78.421,78.733,20989,78.79
2012.07.20,78.729,78.79,78.439,78.46,16751,78.522
2012.07.22,78.44,78.522,78.37,78.458,1975,78.459
2012.07.23,78.459,78.459,77.931,78.28,21288,78.329
2012.07.24,78.279,78.329,78.069,78.108,19524,78.263
2012.07.25,78.114,78.263,78.058,78.097,19304,78.34
2012.07.26,78.092,78.34,78.008,78.308,21103,78.662
2012.07.27,78.305,78.662,78.063,78.49,21090,78.527
2012.07.29,78.435,78.527,78.414,78.489,1717,78.517
2012.07.30,78.49,78.517,78.098,78.116,18776,78.29
2012.07.31,78.114,78.29,78.028,78.116,19533,78.489
2012.08.01,78.117,78.489,77.9,78.371,21227,78.525
2012.08.02,78.37,78.525,78.105,78.215,21412,78.759
2012.08.03,78.212,78.759,78.058,78.557,19815,78.628
2012.08.05,78.59,78.628,78.482,78.601,2073,78.602
2012.08.06,78.6,78.602,78.13,78.197,18153,78.724
2012.08.07,78.195,78.724,78.145,78.596,19876,78.62
2012.08.08,78.601,78.62,78.222,78.402,21204,78.777
2012.08.09,78.406,78.777,78.279,78.577,23213,78.629
2012.08.10,78.578,78.629,78.147,78.253,18713,78.29
2012.08.12,78.206,78.29,78.2,78.243,1505,78.361
2012.08.13,78.244,78.361,78.149,78.328,16518,78.919
2012.08.14,78.317,78.919,78.31,78.817,19841,79.037
2012.08.15,78.816,79.037,78.58,78.995,20261,79.39
2012.08.16,78.996,79.39,78.984,79.252,22819,79.561
2012.08.17,79.254,79.561,79.22,79.536,17336,79.566
2012.08.19,79.549,79.566,79.415,79.513,1890,79.645
2012.08.20,79.514,79.645,79.306,79.331,18064,79.511
2012.08.21,79.332,79.511,79.199,79.24,19090,79.361
2012.08.22,79.239,79.361,78.27,78.533,23269,78.682
2012.08.23,78.532,78.682,78.349,78.577,20939,78.71
2012.08.24,78.576,78.71,78.443,78.682,16906,78.767
2012.08.26,78.688,78.767,78.621,78.734,1618,78.829
2012.08.27,78.738,78.829,78.64,78.746,13819,78.755
2012.08.28,78.74,78.755,78.444,78.56,18890,78.775
2012.08.29,78.558,78.775,78.468,78.718,17332,78.718
2012.08.30,78.716,78.718,78.485,78.522,16358,78.597
2012.08.31,78.524,78.597,78.175,78.274,19550,78.341
2012.09.02,78.325,78.341,78.26,78.29,1152,78.386
2012.09.03,78.291,78.386,78.181,78.329,14895,78.469
2012.09.04,78.328,78.469,78.273,78.467,18715,78.521
2012.09.05,78.469,78.521,78.289,78.409,18194,79.019
2012.09.06,78.411,79.019,78.368,78.878,21792,79.005
2012.09.07,78.875,79.005,78.002,78.258,22300,78.288
2012.09.09,78.237,78.288,78.185,78.221,1691,78.317
2012.09.10,78.222,78.317,78.173,78.223,16414,78.234
2012.09.11,78.224,78.234,77.689,77.752,20946,77.953
2012.09.12,77.751,77.953,77.726,77.811,24475,77.812
2012.09.13,77.812,77.812,77.12,77.641,25478,78.378
2012.09.14,77.628,78.378,77.504,78.371,26408,78.46
2012.09.16,78.334,78.46,78.3,78.328,2135,78.913
2012.09.17,78.33,78.913,78.153,78.661,21337,78.861
2012.09.18,78.662,78.861,78.475,78.752,22488,79.203
2012.09.19,78.755,79.203,78.242,78.383,32976,78.447
2012.09.20,78.382,78.447,78.008,78.2,25830,78.356
2012.09.21,78.194,78.356,78.098,78.111,19866,78.19
2012.09.23,78.15,78.19,78.073,78.114,1771,78.137
2012.09.24,78.115,78.137,77.792,77.86,17322,77.915
2012.09.25,77.861,77.915,77.648,77.729,18652,77.894
2012.09.26,77.728,77.894,77.576,77.68,18791,77.741
